iteration,E
1,1.152921e+17
2,1.152921e+17
3,1.152921e+17
4,1.152921e+17
5,1.152921e+17
6,1.152921e+17
7,1.152921e+17
8,1.152921e+17
9,1.152921e+17
10,1.152921e+17
11,1.152921e+17
12,1.152921e+17
13,1.152921e+17
14,1.152921e+17
15,1.152921e+17
16,1.152921e+17
17,1.152921e+17
18,1.152921e+17
19,1.152921e+17
20,1.152921e+17
21,1.152921e+17
22,1.152921e+17
23,1.152921e+17
24,1.152921e+17
25,1.152921e+17
26,1.152921e+17
27,1.152921e+17
28,1.152921e+17
29,1.152921e+17
30,1.152921e+17
31,1.152921e+17
32,1.152921e+17
33,1.152921e+17
34,1.152921e+17
35,1.152921e+17
36,1.152921e+17
37,1.152921e+17
38,1.152921e+17
39,1.152921e+17
40,1.152921e+17
41,1.152921e+17
42,1.152921e+17
43,1.152921e+17
44,1.152921e+17
45,1.152921e+17
46,1.152921e+17
47,1.152921e+17
48,1.152921e+17
49,1.152921e+17
50,1.152921e+17
51,1.152921e+17
52,1.152921e+17
53,1.152921e+17
54,1.152921e+17
55,1.152921e+17
56,1.152921e+17
57,1.152921e+17
58,1.152921e+17
59,1.152921e+17
60,1.152921e+17
61,1.152921e+17
62,1.152921e+17
63,1.152921e+17
64,1.152921e+17
65,1.152921e+17
66,1.152921e+17
67,1.152921e+17
68,1.152921e+17
69,1.152921e+17
70,1.152921e+17
71,1.152921e+17
72,1.152921e+17
73,1.152921e+17
74,1.152921e+17
75,1.152921e+17
76,1.152921e+17
77,1.152921e+17
78,1.152921e+17
79,1.152921e+17
80,1.152921e+17
81,1.152921e+17
82,1.152921e+17
83,1.152921e+17
84,1.152921e+17
